vid,file_path,source,x1,y1,x2,y2,frame_width,frame_height,detection_rate,num_sampled_frames,num_detected_frames,failed,error
--7E2sU6zP4_13-5-rgb_front,D:\how2sign\train\--7E2sU6zP4_13-5-rgb_front.mp4,how2sign,393,103,1073,720,1280,720,1.0,31,31,False,
--8pSDeC-fg_1-5-rgb_front,D:\how2sign\train\--8pSDeC-fg_1-5-rgb_front.mp4,how2sign,364,88,1002,720,1280,720,1.0,12,12,False,
--8pSDeC-fg_10-5-rgb_front,D:\how2sign\train\--8pSDeC-fg_10-5-rgb_front.mp4,how2sign,367,83,1072,720,1280,720,1.0,34,34,False,
--8pSDeC-fg_11-5-rgb_front,D:\how2sign\train\--8pSDeC-fg_11-5-rgb_front.mp4,how2sign,321,84,1087,720,1280,720,1.0,14,14,False,
--8pSDeC-fg_13-5-rgb_front,D:\how2sign\train\--8pSDeC-fg_13-5-rgb_front.mp4,how2sign,373,110,1040,699,1280,720,1.0,28,28,False,
--8pSDeC-fg_15-5-rgb_front,D:\how2sign\train\--8pSDeC-fg_15-5-rgb_front.mp4,how2sign,337,87,1064,720,1280,720,1.0,32,32,False,
--8pSDeC-fg_16-5-rgb_front,D:\how2sign\train\--8pSDeC-fg_16-5-rgb_front.mp4,how2sign,355,87,1053,720,1280,720,1.0,28,28,False,
--8pSDeC-fg_2-5-rgb_front,D:\how2sign\train\--8pSDeC-fg_2-5-rgb_front.mp4,how2sign,363,110,1023,710,1280,720,1.0,30,30,False,
--8pSDeC-fg_3-5-rgb_front,D:\how2sign\train\--8pSDeC-fg_3-5-rgb_front.mp4,how2sign,355,79,1035,720,1280,720,1.0,31,31,False,
--8pSDeC-fg_5-5-rgb_front,D:\how2sign\train\--8pSDeC-fg_5-5-rgb_front.mp4,how2sign,407,124,1034,645,1280,720,1.0,16,16,False,
--8pSDeC-fg_6-5-rgb_front,D:\how2sign\train\--8pSDeC-fg_6-5-rgb_front.mp4,how2sign,356,82,1036,720,1280,720,1.0,26,26,False,
--8pSDeC-fg_7-5-rgb_front,D:\how2sign\train\--8pSDeC-fg_7-5-rgb_front.mp4,how2sign,384,105,1017,665,1280,720,1.0,11,11,False,
--8pSDeC-fg_8-5-rgb_front,D:\how2sign\train\--8pSDeC-fg_8-5-rgb_front.mp4,how2sign,415,89,1015,720,1280,720,1.0,8,8,False,
--8pSDeC-fg_9-5-rgb_front,D:\how2sign\train\--8pSDeC-fg_9-5-rgb_front.mp4,how2sign,387,107,1027,706,1280,720,1.0,30,30,False,
--dANj_01AU_0-5-rgb_front,D:\how2sign\train\--dANj_01AU_0-5-rgb_front.mp4,how2sign,408,109,1016,720,1280,720,1.0,30,30,False,
--dANj_01AU_10-5-rgb_front,D:\how2sign\train\--dANj_01AU_10-5-rgb_front.mp4,how2sign,417,107,1035,676,1280,720,1.0,16,16,False,
--dANj_01AU_11-5-rgb_front,D:\how2sign\train\--dANj_01AU_11-5-rgb_front.mp4,how2sign,410,117,1031,633,1280,720,1.0,11,11,False,
--dANj_01AU_12-5-rgb_front,D:\how2sign\train\--dANj_01AU_12-5-rgb_front.mp4,how2sign,440,120,1013,682,1280,720,1.0,19,19,False,
--dANj_01AU_16-5-rgb_front,D:\how2sign\train\--dANj_01AU_16-5-rgb_front.mp4,how2sign,409,127,1025,662,1280,720,1.0,14,14,False,
--dANj_01AU_19-5-rgb_front,D:\how2sign\train\--dANj_01AU_19-5-rgb_front.mp4,how2sign,406,71,1019,720,1280,720,1.0,12,12,False,
--dANj_01AU_2-5-rgb_front,D:\how2sign\train\--dANj_01AU_2-5-rgb_front.mp4,how2sign,384,133,1040,633,1280,720,1.0,19,19,False,
--dANj_01AU_21-5-rgb_front,D:\how2sign\train\--dANj_01AU_21-5-rgb_front.mp4,how2sign,413,80,1025,720,1280,720,1.0,29,29,False,
--dANj_01AU_3-5-rgb_front,D:\how2sign\train\--dANj_01AU_3-5-rgb_front.mp4,how2sign,404,138,1024,628,1280,720,1.0,18,18,False,
--dANj_01AU_4-5-rgb_front,D:\how2sign\train\--dANj_01AU_4-5-rgb_front.mp4,how2sign,404,120,1033,640,1280,720,1.0,19,19,False,
--dANj_01AU_5-5-rgb_front,D:\how2sign\train\--dANj_01AU_5-5-rgb_front.mp4,how2sign,442,162,999,588,1280,720,1.0,14,14,False,
-00cp1iGiDw_1-5-rgb_front,D:\how2sign\train\-00cp1iGiDw_1-5-rgb_front.mp4,how2sign,401,105,1028,720,1280,720,1.0,27,27,False,
-00cp1iGiDw_2-5-rgb_front,D:\how2sign\train\-00cp1iGiDw_2-5-rgb_front.mp4,how2sign,381,89,1080,720,1280,720,1.0,37,37,False,
-00cp1iGiDw_4-5-rgb_front,D:\how2sign\train\-00cp1iGiDw_4-5-rgb_front.mp4,how2sign,429,91,1016,720,1280,720,1.0,29,29,False,
-06_nJnhORg_1-5-rgb_front,D:\how2sign\train\-06_nJnhORg_1-5-rgb_front.mp4,how2sign,427,129,996,657,1280,720,1.0,20,20,False,
