SENTENCE_NAME,duration_sec,word_count
--7E2sU6zP4_11-5-rgb_front,26.909999999999997,39
--7E2sU6zP4_6-5-rgb_front,20.519999999999996,26
--7E2sU6zP4_8-5-rgb_front,17.879999999999995,28
--7E2sU6zP4_9-5-rgb_front,13.990000000000009,14
--8pSDeC-fg_14-5-rgb_front,18.680000000000007,32
--dANj_01AU_15-5-rgb_front,15.969999999999999,28
-00cp1iGiDw_10_11-5-rgb_front,16.830000000000013,30
-00cp1iGiDw_12-5-rgb_front,18.059999999999974,31
-00cp1iGiDw_13-5-rgb_front,22.69999999999999,54
-00cp1iGiDw_7-5-rgb_front,25.78,30
-00cp1iGiDw_8-5-rgb_front,35.41,68
-06_nJnhORg_0-5-rgb_front,21.19,45
-06_nJnhORg_17-5-rgb_front,16.82000000000002,41
-06_nJnhORg_2-5-rgb_front,20.52,39
-06_nJnhORg_3-5-rgb_front,19.43,47
-06_nJnhORg_4_5-5-rgb_front,21.67,58
-08ZGCviCm4_3-5-rgb_front,16.419999999999998,38
-08ZGCviCm4_4-5-rgb_front,17.480000000000004,36
-0FA6OhxZSE_4-5-rgb_front,32.519999999999996,82
-0N0jbyBW6g_5-5-rgb_front,14.409999999999997,25
-0N0jbyBW6g_8-5-rgb_front,15.11,22
-0ZqnVFv7eI_1-5-rgb_front,18.880000000000003,43
-0ZqnVFv7eI_3-5-rgb_front,30.04,68
-0ZqnVFv7eI_6-5-rgb_front,15.460000000000008,32
-0daC3SWCPQ_4-5-rgb_front,17.979999999999997,33
-0oP2H0vAGY_13-5-rgb_front,16.24000000000001,33
-0oP2H0vAGY_14-5-rgb_front,16.11,24
-0oP2H0vAGY_15-5-rgb_front,19.099999999999994,26
-0oP2H0vAGY_17-5-rgb_front,53.18000000000001,123
-0oP2H0vAGY_4-5-rgb_front,16.27,54
-0sphqZT1eQ_3-5-rgb_front,17.66,24
-0sphqZT1eQ_4-5-rgb_front,16.820000000000004,32
-0yRaqY7nTE_10-5-rgb_front,16.840000000000003,44
-0yRaqY7nTE_7-5-rgb_front,28.699999999999996,70
-0yRaqY7nTE_8-5-rgb_front,16.769999999999996,42
-1KpdDGPCq4_5-5-rgb_front,41.47,81
-1PeVdIwiq0_12-8-rgb_front,13.700000000000003,29
-1PeVdIwiq0_17-8-rgb_front,14.110000000000014,60
-1Uik-vwQoc_5-5-rgb_front,17.790000000000006,34
-1eulcDdoVQ_10-5-rgb_front,14.399999999999977,26
-1eulcDdoVQ_2-5-rgb_front,13.64,20
-1eulcDdoVQ_4-5-rgb_front,17.799999999999997,37
-1eulcDdoVQ_5-5-rgb_front,28.940000000000005,47
-1eulcDdoVQ_6-5-rgb_front,26.659999999999997,37
-1fUFbij2s0_2-5-rgb_front,20.870000000000005,53
-1fUFbij2s0_23_24-5-rgb_front,17.98999999999998,22
-1fUFbij2s0_26_27_28-5-rgb_front,24.159999999999997,30
-1rM0t5FMiE_3-5-rgb_front,15.879999999999999,30
-1rM0t5FMiE_6-5-rgb_front,34.35,33
-1rM0t5FMiE_7-5-rgb_front,20.83,24
-23PZTqtDBw_10-5-rgb_front,16.159999999999997,40
-23PZTqtDBw_14-5-rgb_front,18.11,38
-23PZTqtDBw_3-5-rgb_front,27.680000000000003,63
-23PZTqtDBw_9-5-rgb_front,14.790000000000006,35
-3bw4dQEyF8_2-5-rgb_front,15.620000000000001,20
-3bw4dQEyF8_5-5-rgb_front,21.720000000000006,26
-3bw4dQEyF8_6-5-rgb_front,22.340000000000003,34
-3sFcDBFxc8_1-5-rgb_front,18.44,24
-6PULg1jlpc_5-5-rgb_front,15.04,25
-6PZkp-zC78_3-5-rgb_front,19.47,48
-6PZkp-zC78_8-5-rgb_front,14.189999999999998,39
-6YYqn8lplg_4-5-rgb_front,15.129999999999995,37
-6xQU_WIlh4_5-5-rgb_front,22.700000000000003,55
-6xQU_WIlh4_6-5-rgb_front,14.039999999999992,30
-70D86eMmIc_11-5-rgb_front,16.810000000000002,39
-70D86eMmIc_13-5-rgb_front,32.27000000000001,45
-70D86eMmIc_17-5-rgb_front,25.159999999999997,30
-70D86eMmIc_5-5-rgb_front,19.28,36
-70D86eMmIc_7-5-rgb_front,25.700000000000003,38
-7H7ZHO_4Ao_5-8-rgb_front,15.82,46
-88OcTs9MPs_3-8-rgb_front,25.6,101
-8EJ9aomFAc_4-8-rgb_front,29.77,26
-8j9K3T5lkw_8-8-rgb_front,13.779999999999994,35
-8smPvP08mU_9-8-rgb_front,69.38000000000001,22
-8uwu59w8QE_10-8-rgb_front,14.650000000000006,49
-916rCqIrfY_20-5-rgb_front,121.56,17
-96cWDhR4hc_0-5-rgb_front,29.44,61
-96cWDhR4hc_1-5-rgb_front,24.080000000000002,42
-96cWDhR4hc_5-5-rgb_front,14.090000000000003,18
-96cWDhR4hc_8-5-rgb_front,21.210000000000008,34
-96cWDhR4hc_9-5-rgb_front,24.79000000000002,35
-98tdkCF-sY_5-5-rgb_front,69.19,41
