timestamp,global_step,epoch,source,reference,hypothesis
2026-04-20 23:51:11,80,1,how2sign,That's a good place right now for it.,arin the same way.
2026-04-20 23:51:11,80,1,how2sign,I bought this at the store and there appears to be a great deal of moisture in the actual fat.,I'm going to show you how to do it.
2026-04-20 23:51:11,80,1,how2sign,Today I am going to be showing you how to make Gourmet French Fries cooked in duck fat.,I'm going to show you how to do it.
2026-04-20 23:51:11,80,1,how2sign,But you have to have it.,arithmetic.
2026-04-20 23:51:11,80,1,how2sign,We're going to be serving it up with no ice.,I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,how2sign,That's a good place right now for it.,I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,how2sign,I bought this at the store and there appears to be a great deal of moisture in the actual fat.,I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,how2sign,Today I am going to be showing you how to make Gourmet French Fries cooked in duck fat.,I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,how2sign,But you have to have it.,I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,how2sign,We're going to be serving it up with no ice.,I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,how2sign,We will have to definitely adjust.,And that's it.
2026-04-21 12:29:37,80,1,openasl,I found a job working for a youth program and did so for about 12 and a half years.,And that's what we're going to do.
2026-04-21 12:29:37,80,1,how2sign,Like a cat might dig through the bars if they are small enough and be able to grab hold of the bird.,I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,openasl,"Even if net neutrality is removed, the FCC will retrain the requirement for transparency.",And that's all for today's news.
2026-04-21 12:29:37,80,1,how2sign,"If it is laying loosey like this, this is just normal.",You can do it with your hands.
2026-04-21 12:29:37,80,1,openasl,Thomas grew up.,I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,how2sign,Tonight we're going to work and walk you through some advance bowling techniques so you can improve your game.,And that's it for today.
2026-04-21 12:29:37,80,1,openasl,"This bridges the gap between and adds information to Youth Chapter, which is cool.",And that's the end of the video.
2026-04-21 12:29:37,80,1,how2sign,"Today, we're painting on glass.",I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,how2sign,We don't have to do anything anymore.,I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,how2sign,You're trying to get it off of your pot.,I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,how2sign,"So, this is going to be so wonderfully tropical.",I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,openasl,Also explain your life experience as a deaf person to help them understand from your perspective.,And that's what we're going to be doing.
2026-04-21 12:29:37,80,1,openasl,"For interpreting, we could start employment opportunities and growth for federal jobs.",And that's why we're doing this.
2026-04-21 12:29:37,80,1,how2sign,So you can do tons of different combos.,I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,how2sign,"You want to decide if keeping the house is in your best interest or perhaps the expenses to run the house are just so expensive, it's not worth it.","You can use the same technique to make a sign for the word ""yes""."
2026-04-21 12:29:37,80,1,openasl,The virus is projected to hit the country the hardest mid-April.,She said that she had been in the hospital for a week.
2026-04-21 12:29:37,80,1,how2sign,"And we'll go over like so, back under, and through the loop we've created, and there it is.",You can use the same technique to do the same thing with your hands.
2026-04-21 12:29:37,80,1,openasl,Welcome to Sign1News.,And that's all for today's news.
2026-04-21 12:29:37,80,1,openasl,"Now, Hillary Clinton.",And that's why we're seeing a rise in the number of cases.
2026-04-21 12:29:37,80,1,how2sign,"And that would be almost like a prayer, saying what I intend to do and for whom I intend to do it.",I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,how2sign,"You press down in the middle, and that recreates that suction.",And that's it for today.
2026-04-21 12:29:37,80,1,how2sign,You're going to hit it just a little more behind.,I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,openasl,Gallaudet officials said they are still assessing those areas.,And that's all for today's news.
2026-04-21 12:29:37,80,1,how2sign,"Basically, you have two directions that we're going to be talking about.",I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,how2sign,"See if you'd hit it from here, there's a possibility that it could tip.",And that's what we're going to do today.
2026-04-21 12:29:37,80,1,openasl,The boat took a wrong turn and had to turn back.,A man has been arrested after a fatal crash on the highway.
2026-04-21 12:29:37,80,1,how2sign,"I'm going to take my tubing up, and I'm going to open up my palms so they're facing forward.",You can do it with your hands or your arms.
2026-04-21 12:29:37,80,1,how2sign,"Alright, the drink that we are about to make is a Claridge Cocktail.",I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,openasl,Assumed it was okay because it was sitting.,I'm not going to do it.
2026-04-21 12:29:37,80,1,how2sign,Let me repeat you do not want to just throw it in your flour all at once.,I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,openasl,Here are the stories for today.,I'm not going to do that.
2026-04-21 12:29:37,80,1,how2sign,Everyone does not have to love you.,You're going to need a little bit more than that.
2026-04-21 12:29:37,80,1,how2sign,And we're going to talk about character development and how to create really great characters that people are passionate about.,I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,openasl,Johnson was released from the hospital on Easter Sunday and has been recovering at home.,And that's why we're seeing so many people in the streets today.
2026-04-21 12:29:37,80,1,how2sign,"So you can see that the curl is very tight, very wiggly.",I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,openasl,My father said it'd be hard because your deaf and it'd be difficult to communicate.,I'm not going to do it.
2026-04-21 12:29:37,80,1,how2sign,You also want to take a look at the season.,I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,how2sign,And I'll show you how to do that next.,I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,openasl,Millions of people are at risk of losing food assistance in the ongoing government shutdown.,She is now in the hospital.
2026-04-21 12:29:37,80,1,openasl,"Whether they go to jail or prison, they must remain there until they receive their sentence or serve their sentence.",And that's why we're going to have to do it.
2026-04-21 12:29:37,80,1,openasl,Masks are mandatory except during scenes.,The man is now in the hospital with serious injuries.
2026-04-21 12:29:37,80,1,how2sign,So what I mean by full body movement is from your upper body down to your lower body.,I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,openasl,I'm very excited about this project!,And that's why I'm here today.
2026-04-21 12:29:37,80,1,how2sign,There are complex movements later on in higher levels of Qigung.,I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,how2sign,So I have to trim this as well.,I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,how2sign,It doesn't quite slip into that pedestal.,I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,how2sign,"So, when you're walking your dog you always want to stay controlled.",You're going to use your hands to do this.
2026-04-21 12:29:37,80,1,how2sign,Yogurt in the middle east is kind of like ketchup here in the United States so and that is it for the yogurt part of the hummus.,I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,how2sign,Does it take place on a Monday?,I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,how2sign,Know that those are some of the pitfalls so that you might avoid them.,I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,openasl,She said she loved DCARA and resigned to try and resolve the issue.,The man was arrested on suspicion of assaulting a police officer.
2026-04-21 12:29:37,80,1,how2sign,"But call forwarding is a really, really great tool for home or for business.",I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,how2sign,You don't need a lot of paint on your brush.,I'm going to show you how to do it.
2026-04-21 12:29:37,80,1,how2sign,In this segment we're going to be discussing how to make the client comfortable on the massage table.,And then you can use your hands to do the same thing.
