timestamp,global_step,epoch,phase,train_loss,train_ppl,contrast_loss,lr_t1,lr_t2,lr_t3,lr_t4,grad_norm_t1,grad_norm_t2,grad_norm_t3,grad_norm_t4,grad_norm,cuda_mem_gb,cuda_peak_gb,steps_per_sec,sec_per_step,sec_per_step_avg10,elapsed_sec,eta_sec,global_eta_sec
29/4/2026 1:54,1,1,1,5.03125,153.1243,0,0.000e+00,8.197e-07,0.000e+00,8.197e-07,0,473.0336,0,0,473.0336,3.78,9.27,0.01,168.4,411957.5,168.4,,
29/4/2026 1:56,2,1,1,4.9375,139.4213,0,0.000e+00,1.230e-06,0.000e+00,1.230e-06,0,323.0878,0,0,323.0878,3.78,9.29,0.01,285.2,348844.3,285.2,,
29/4/2026 1:59,3,1,1,5.1875,179.0204,0,0.000e+00,1.639e-06,0.000e+00,1.639e-06,0,430.0372,0,0,430.0372,3.78,9.29,0.01,458.5,373688.1,458.5,,
29/4/2026 2:01,4,1,1,4.84375,126.9445,0,0.000e+00,2.049e-06,0.000e+00,2.049e-06,0,603.6756,0,0,603.6756,3.78,9.44,0.01,562.6,343727.5,562.6,,
29/4/2026 2:03,5,1,1,4.8125,123.0388,0,0.000e+00,2.459e-06,0.000e+00,2.459e-06,0,490.1941,0,0,490.1941,3.79,9.44,0.01,670.6,327669.7,670.6,,
29/4/2026 2:04,6,1,1,5.15625,173.5126,0,0.000e+00,2.869e-06,0.000e+00,2.869e-06,0,379.6742,0,0,379.6742,3.78,9.44,0.01,772.5,314397.3,772.5,,
29/4/2026 2:06,7,1,1,5.21875,184.7032,0,0.000e+00,3.279e-06,0.000e+00,3.279e-06,0,620.3965,0,0,620.3965,3.78,9.44,0.01,862.9,300909.6,862.9,,
29/4/2026 2:08,8,1,1,4.84375,126.9445,0,0.000e+00,3.689e-06,0.000e+00,3.689e-06,0,250.9963,0,0,250.9963,3.79,9.45,0.01,961.4,293239.4,961.4,,
29/4/2026 2:10,9,1,1,4.90625,135.1317,0,0.000e+00,4.098e-06,0.000e+00,4.098e-06,0,452.0363,0,0,452.0362,3.79,9.45,0.01,1078.6,292304.8,1078.6,,
29/4/2026 2:12,10,1,1,4.53125,92.8746,0,0.000e+00,4.508e-06,0.000e+00,4.508e-06,0,961.073,0,0,961.073,3.78,9.54,0.01,1212.1,295512.1,1212.1,,
29/4/2026 2:16,11,1,1,4.71875,112.0281,0,0.000e+00,4.918e-06,0.000e+00,4.918e-06,0,295.3545,0,0,295.3545,3.78,9.54,0,1488.1,329674.7,1488.1,,
29/4/2026 2:18,12,1,1,4.71875,112.0281,0,0.000e+00,5.328e-06,0.000e+00,5.328e-06,0,310.4083,0,0,310.4083,3.78,9.54,0.01,1575.2,319772.9,1575.2,,
29/4/2026 2:32,13,1,1,4.75,115.5843,0,0.000e+00,5.738e-06,0.000e+00,5.738e-06,0,323.0903,0,0,323.0903,3.78,9.54,0,2419.8,453238.2,2419.8,,
29/4/2026 2:35,14,1,1,4.65625,105.2407,0,0.000e+00,6.148e-06,0.000e+00,6.148e-06,0,487.2677,0,0,487.2677,3.79,9.54,0.01,2610.6,453872.2,2610.6,,
29/4/2026 2:44,15,1,1,4.53125,92.8746,0,0.000e+00,6.557e-06,0.000e+00,6.557e-06,0,254.9335,0,0,254.9335,3.78,9.54,0,3175,514978.2,3175,,
29/4/2026 2:47,16,1,1,4.6875,108.5814,0,0.000e+00,6.967e-06,0.000e+00,6.967e-06,0,290.4828,0,0,290.4828,3.79,9.54,0.01,3317,504189.7,3317,,
29/4/2026 2:49,17,1,1,4.46875,87.2476,0,0.000e+00,7.377e-06,0.000e+00,7.377e-06,0,287.9929,0,0,287.9929,3.78,9.54,0.01,3472.5,496573.4,3472.5,,
29/4/2026 2:56,18,1,1,4.3125,74.6268,0,0.000e+00,7.787e-06,0.000e+00,7.787e-06,0,263.7587,0,0,263.7587,3.78,9.54,0,3889.7,525107,3889.7,,
29/4/2026 3:00,19,1,1,4.59375,98.8645,0,0.000e+00,8.197e-06,0.000e+00,8.197e-06,0,153.1668,0,0,153.1668,3.79,9.6,0.01,4088,522622.1,4088,,
29/4/2026 3:02,20,1,1,4.28125,72.3308,0,0.000e+00,8.607e-06,0.000e+00,8.607e-06,0,191.2844,0,0,191.2844,3.78,9.6,0.01,4203.8,510344.4,4203.8,,
29/4/2026 3:07,21,1,1,4.21875,67.9485,0,0.000e+00,9.016e-06,0.000e+00,9.016e-06,0,188.5942,0,0,188.5942,3.78,9.6,0,4518.4,522198.7,4518.4,,
29/4/2026 3:25,22,1,1,4.4375,84.5633,0,0.000e+00,9.426e-06,0.000e+00,9.426e-06,0,235.0013,0,0,235.0013,3.78,9.6,0,5609.9,618622.8,5609.9,,
29/4/2026 3:44,23,1,1,4.34375,76.9957,0,0.000e+00,9.836e-06,0.000e+00,9.836e-06,0,159.7192,0,0,159.7192,3.78,9.6,0,6730.7,709645.6,6730.7,,
29/4/2026 3:53,24,1,1,4.15625,63.8317,0,0.000e+00,1.025e-05,0.000e+00,1.025e-05,0,80.0215,0,0,80.0215,3.78,9.6,0,7301.4,737440.3,7301.4,,
29/4/2026 3:58,25,1,1,4.28125,72.3308,0,0.000e+00,1.066e-05,0.000e+00,1.066e-05,0,188.7536,0,0,188.7536,3.78,9.6,0,7570.6,733737.9,7570.6,,
29/4/2026 4:07,26,1,1,4.1875,65.8579,0,0.000e+00,1.107e-05,0.000e+00,1.107e-05,0,97.4118,0,0,97.4118,3.78,9.6,0,8124.1,756787.6,8124.1,,
29/4/2026 4:13,27,1,1,4.4375,84.5633,0,0.000e+00,1.148e-05,0.000e+00,1.148e-05,0,151.7205,0,0,151.7205,3.79,9.6,0,8470.4,759513.1,8470.4,,
29/4/2026 4:20,28,1,1,3.921875,50.495,0,0.000e+00,1.189e-05,0.000e+00,1.189e-05,0,89.1962,0,0,89.1962,3.78,9.6,0,8878.1,767323.1,8878.1,,
29/4/2026 4:22,29,1,1,4.125,61.8678,0,0.000e+00,1.230e-05,0.000e+00,1.230e-05,0,94.8093,0,0,94.8093,3.79,9.6,0.01,9001.5,750851.7,9001.5,,
29/4/2026 4:23,30,1,1,3.765625,43.1907,0,0.000e+00,1.270e-05,0.000e+00,1.270e-05,0,94.3399,0,0,94.3399,3.78,9.6,0.01,9097.1,733225,9097.1,,
29/4/2026 4:25,31,1,1,4.09375,59.9643,0,0.000e+00,1.311e-05,0.000e+00,1.311e-05,0,85.7297,0,0,85.7297,3.78,9.6,0.01,9183.6,716022.3,9183.6,,
29/4/2026 4:26,32,1,1,3.890625,48.9415,0,0.000e+00,1.352e-05,0.000e+00,1.352e-05,0,59.5436,0,0,59.5436,3.79,9.6,0.01,9272.4,700068,9272.4,,
29/4/2026 4:28,33,1,1,4.125,61.8678,0,0.000e+00,1.393e-05,0.000e+00,1.393e-05,0,145.3372,0,0,145.3373,3.78,9.6,0.01,9358.1,684841.7,9358.1,,
29/4/2026 4:32,34,1,1,3.875,48.1827,0,0.000e+00,1.434e-05,0.000e+00,1.434e-05,0,122.9558,0,0,122.9558,3.79,9.6,0,9649.8,685136.9,9649.8,,
29/4/2026 4:49,35,1,1,3.859375,47.4357,0,0.000e+00,1.475e-05,0.000e+00,1.475e-05,0,70.2078,0,0,70.2078,3.78,9.6,0,10639.6,733524.4,10639.6,,
29/4/2026 5:06,36,1,1,3.984375,53.7517,0,0.000e+00,1.516e-05,0.000e+00,1.516e-05,0,99.3969,0,0,99.3969,3.79,9.6,0,11641.6,779990.4,11641.6,,
