timestamp,global_step,epoch,train_loss,train_ppl,lr_new_weights,lr_cnn,lr_decoder,grad_norm,cuda_mem_gb,cuda_peak_gb,steps_per_sec,elapsed_sec,eta_sec
2026-04-11 02:00:02,1,1,5.759308,317.1288,4.000e-08,0.000e+00,0.000e+00,10.1875,2.94,3.54,0.01,82.1,1840033.4
2026-04-11 02:00:52,2,1,5.849950,347.2171,8.000e-08,0.000e+00,0.000e+00,10.5000,2.94,3.72,0.02,132.0,1479992.1
2026-04-11 02:01:36,3,1,5.463777,235.9871,1.200e-07,0.000e+00,0.000e+00,11.3125,2.94,3.72,0.02,176.4,1318120.6
2026-04-11 02:02:21,4,1,5.721356,305.3188,1.600e-07,0.000e+00,0.000e+00,10.3750,2.94,3.73,0.02,221.4,1240876.4
2026-04-11 02:03:08,5,1,5.663445,288.1396,2.000e-07,0.000e+00,0.000e+00,8.8125,2.94,3.73,0.02,268.1,1202374.2
2026-04-11 02:03:58,6,1,6.067868,431.7591,2.400e-07,0.000e+00,0.000e+00,9.9375,2.94,3.73,0.02,318.6,1190469.7
2026-04-11 02:04:45,7,1,6.066868,431.3276,2.800e-07,0.000e+00,0.000e+00,9.9375,2.94,3.73,0.02,365.0,1168793.7
2026-04-11 02:05:29,8,1,5.831722,340.9452,3.200e-07,0.000e+00,0.000e+00,11.3125,2.94,3.73,0.02,408.8,1145553.8
2026-04-11 02:06:19,9,1,5.683969,294.1146,3.600e-07,0.000e+00,0.000e+00,11.1875,2.94,3.73,0.02,459.1,1143587.6
2026-04-11 02:07:11,10,1,7.102384,1214.8600,4.000e-07,0.000e+00,0.000e+00,9.3125,2.94,3.73,0.02,511.4,1146370.6
2026-04-11 02:08:00,11,1,6.240617,513.1749,4.400e-07,0.000e+00,0.000e+00,10.5000,2.94,3.73,0.02,560.5,1141996.7
2026-04-11 02:08:43,12,1,6.254642,520.4228,4.800e-07,0.000e+00,0.000e+00,10.7500,2.94,3.73,0.02,603.7,1127482.9
